Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-25 04:20:34.432101,0.99,0.97,0.81
2020-04-25 04:24:27.302064,0.94,0.79,0.41
2020-04-25 04:28:16.075063,0.98,0.95,0.76
2020-04-25 04:32:14.509736,0.99,0.93,0.83
2020-04-25 04:36:05.055118,0.99,0.92,0.7
2020-04-25 04:40:22.600225,0.98,0.86,0.45
2020-04-25 04:44:32.089972,0.98,0.95,0.74
2020-04-25 04:48:41.314163,0.99,0.89,0.81
2020-04-25 04:53:03.198483,0.98,0.92,0.83
2020-04-25 04:57:15.800269,1.0,0.94,0.69
2020-04-25 05:01:16.997210,0.99,0.96,0.73
2020-04-25 05:05:25.355382,0.98,0.89,0.49
2020-04-25 05:09:15.009368,1.0,0.91,0.6
2020-04-25 05:13:13.375307,0.98,0.92,0.77
2020-04-25 05:17:12.159567,0.99,0.93,0.83
2020-04-25 05:21:10.296485,0.99,0.95,0.81
2020-04-25 05:25:27.133097,0.44,0.17,0.0
2020-04-25 05:29:21.994262,0.98,0.89,0.66
2020-04-25 05:33:14.985746,0.97,0.89,0.65
2020-04-25 05:37:04.177643,0.99,0.97,0.71
2020-04-25 05:40:50.464598,1.0,0.96,0.77
2020-04-25 05:44:42.563543,1.0,0.96,0.74
2020-04-25 05:48:39.426633,0.98,0.92,0.7
2020-04-25 05:52:30.083463,0.99,0.9,0.65
2020-04-25 05:56:27.695656,1.0,0.95,0.71
2020-04-25 06:00:16.579342,0.98,0.84,0.72
2020-04-25 06:04:24.993722,1.0,0.97,0.73
2020-04-25 06:08:24.298350,0.98,0.95,0.75
2020-04-25 06:12:26.342118,0.99,0.94,0.81
2020-04-25 06:16:33.197869,0.99,0.95,0.77
2020-04-25 06:20:29.451351,1.0,0.94,0.75
2020-04-25 06:24:25.508046,0.98,0.94,0.74
2020-04-25 06:28:34.377250,0.99,0.95,0.61
2020-04-25 06:32:56.259512,1.0,0.98,0.81
2020-04-25 06:37:17.949707,1.0,0.93,0.64
2020-04-25 06:41:29.863769,1.0,0.94,0.82
2020-04-25 06:45:50.711166,0.95,0.95,0.65
2020-04-25 06:50:04.751763,1.0,0.96,0.66
2020-04-25 06:54:03.167649,1.0,0.92,0.71
2020-04-25 06:58:07.247677,0.99,0.95,0.78
2020-04-25 07:02:01.493671,0.96,0.89,0.6
2020-04-25 07:06:01.473978,0.99,0.92,0.76
2020-04-25 07:10:05.343105,0.99,0.96,0.72
2020-04-25 07:14:18.931550,0.98,0.87,0.5
2020-04-25 07:18:27.104390,0.98,0.94,0.77
2020-04-25 07:22:40.522923,1.0,0.91,0.54
2020-04-25 07:26:56.978238,1.0,0.95,0.81
2020-04-25 07:31:02.266105,0.98,0.9,0.71
2020-04-25 07:35:08.939148,0.08,0.12,0.0
2020-04-25 07:39:09.523248,0.98,0.9,0.77
2020-04-25 07:43:09.492626,0.99,0.94,0.78
2020-04-25 07:47:10.586544,0.99,0.94,0.74
2020-04-25 07:51:27.769095,0.94,0.74,0.32
2020-04-25 07:55:30.796623,1.0,0.94,0.59
2020-04-25 07:59:26.723002,0.99,0.95,0.76
2020-04-25 08:03:25.295116,0.98,0.86,0.68
2020-04-25 08:07:40.670687,0.99,0.86,0.46
2020-04-25 08:11:50.538533,0.99,0.93,0.75
2020-04-25 08:16:00.383944,0.97,0.9,0.72
2020-04-25 08:20:10.051438,0.99,0.89,0.67
2020-04-25 08:24:16.611356,1.0,0.98,0.72
2020-04-25 08:28:23.590064,0.99,0.94,0.66
2020-04-25 08:32:39.613923,0.99,0.89,0.74
2020-04-25 08:37:01.520875,1.0,0.93,0.7
2020-04-25 08:41:28.338518,1.0,0.95,0.79
2020-04-25 08:46:03.953340,1.0,0.95,0.69
2020-04-25 08:50:37.474408,0.99,0.95,0.79
2020-04-25 08:55:09.357195,0.98,0.92,0.76
2020-04-25 08:59:18.747145,1.0,0.95,0.68
2020-04-25 09:03:28.450039,1.0,0.93,0.7
2020-04-25 09:07:43.071375,1.0,0.96,0.72
2020-04-25 09:12:00.931099,0.99,0.96,0.77
2020-04-25 09:16:20.450450,1.0,0.98,0.71
2020-04-25 09:20:32.415132,1.0,0.96,0.77
2020-04-25 09:24:52.719901,1.0,0.96,0.75
2020-04-25 09:29:09.377120,1.0,0.97,0.73
2020-04-25 09:33:28.946517,0.99,0.94,0.68
2020-04-25 09:37:59.970087,0.92,0.84,0.49
2020-04-25 09:42:16.974493,0.98,0.95,0.69
2020-04-25 09:46:35.100668,0.98,0.94,0.69
2020-04-25 09:50:57.695761,0.98,0.9,0.72
2020-04-25 09:55:23.121918,0.99,0.89,0.5
2020-04-25 09:59:36.988722,1.0,0.94,0.83
