Average reward self play,Average reward previous iterations,Average evaluation reward,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path
0.5000000000000001,-1,0.4099999999999999,1.0,335025,1.489289765120239e-06,197.085,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5766666666666667,-1,0.43333333333333335,1.0,334690,1.5312789366744456e-06,192.15,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5933333333333333,-1,0.4200000000000001,1.0,333850,1.5106138557802969e-06,213.965,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5833333333333331,-1,0.5033333333333335,1.0,333995,1.4786117801343609e-06,214.06,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5466666666666665,-1,0.5333333333333333,1.0,334765,1.4302812309106711e-06,207.18,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5100000000000001,-1,0.5266666666666666,1.0,336731,1.4326023447483327e-06,196.715,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.52,-1,0.5866666666666667,1.0,334630,1.3990861432013263e-06,185.815,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5199999999999999,-1,0.4500000000000001,1.0,328954,1.4839842595435778e-06,191.785,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5633333333333334,-1,0.4966666666666667,1.0,328352,1.426673279846105e-06,200.48,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4966666666666667,-1,0.6300000000000001,1.0,330004,1.43299647588369e-06,189.805,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4933333333333334,-1,0.5066666666666666,1.0,329489,1.435841749698196e-06,194.38,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5366666666666666,-1,0.4566666666666667,1.0,334717,1.3629123723751366e-06,211.83,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5266666666666667,-1,0.43666666666666665,1.0,332431,1.3640776622847209e-06,193.37,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4733333333333333,-1,0.5000000000000001,1.0,326572,1.3423767799028929e-06,213.085,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4566666666666668,-1,0.5233333333333333,1.0,324955,1.3960193948437364e-06,179.865,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.6033333333333334,-1,0.5233333333333333,1.0,324589,1.4117001955522508e-06,214.33,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.6266666666666667,-1,0.5033333333333333,1.0,332457,1.4017276851588174e-06,214.74,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
